ordering	k	shard	facts	wall_ms	import_ms	reasoning_ms	export_ms	trace_ms	inferences	conclusions
baseline	1	0	13123	52937	56	71	0	52795	49222	13123
loc	8	0	1627	6686	56	73	0	6551	6312	1627
loc	8	1	1648	6842	56	72	0	6708	6043	1648
loc	8	2	1656	6881	57	68	0	6750	5535	1656
loc	8	3	1642	6735	56	70	0	6603	6066	1642
loc	8	4	1652	6819	56	66	0	6690	6378	1652
loc	8	5	1641	6799	56	67	0	6671	6264	1641
loc	8	6	1641	6861	56	72	0	6728	6538	1641
loc	8	7	1616	6811	56	67	0	6682	6330	1616
loc	16	0	818	3347	56	71	0	3215	3156	818
loc	16	1	809	3335	55	71	0	3202	3160	809
loc	16	2	810	3402	55	72	0	3268	3178	810
loc	16	3	838	3478	57	66	0	3349	2867	838
loc	16	4	832	3444	55	72	0	3312	2509	832
loc	16	5	824	3432	55	71	0	3301	3035	824
loc	16	6	830	3495	56	66	0	3367	3050	830
loc	16	7	812	3385	55	66	0	3258	3016	812
loc	16	8	823	3512	55	72	0	3378	3192	823
loc	16	9	829	3488	56	66	0	3361	3190	829
loc	16	10	822	3534	55	68	0	3404	2950	822
loc	16	11	819	3475	55	66	0	3347	3318	819
loc	16	12	823	3593	56	68	0	3464	3200	823
loc	16	13	818	3551	55	68	0	3422	3342	818
loc	16	14	831	3617	58	67	0	3486	3246	831
loc	16	15	785	3429	56	68	0	3298	3090	785
rnd	8	0	1643	7002	56	68	0	6871	8946	1643
rnd	8	1	1638	7058	56	68	0	6927	9065	1638
rnd	8	2	1637	6989	56	69	0	6858	8989	1637
rnd	8	3	1641	7032	56	72	0	6898	9028	1641
rnd	8	4	1641	7011	55	68	0	6880	8995	1641
rnd	8	5	1640	7011	57	68	0	6880	9054	1640
rnd	8	6	1638	6865	55	67	0	6736	9012	1638
rnd	8	7	1645	6928	57	66	0	6798	8982	1645
rnd	16	0	822	3518	55	67	0	3390	4864	822
rnd	16	1	821	3574	56	69	0	3443	4814	821
rnd	16	2	817	3511	55	73	0	3376	4902	817
rnd	16	3	821	3530	56	71	0	3397	4864	821
rnd	16	4	819	3570	56	71	0	3437	4832	819
rnd	16	5	818	3509	56	71	0	3377	4814	818
rnd	16	6	820	3660	56	69	0	3530	4882	820
rnd	16	7	821	3527	56	71	0	3395	4941	821
rnd	16	8	821	3504	55	66	0	3377	4870	821
rnd	16	9	820	3523	56	72	0	3389	4825	820
rnd	16	10	822	3599	56	74	0	3464	4887	822
rnd	16	11	818	3600	56	68	0	3471	4861	818
rnd	16	12	819	3557	56	67	0	3429	4861	819
rnd	16	13	819	3568	57	68	0	3438	4899	819
rnd	16	14	823	3581	56	72	0	3448	4852	823
rnd	16	15	822	3528	57	66	0	3400	4867	822
