ordering	k	shard	facts	wall_ms	import_ms	reasoning_ms	export_ms	trace_ms	inferences	conclusions
baseline	1	0	13123	52619	56	72	0	52491	49222	13123
loc	2	0	6573	26148	56	68	0	26024	23732	6573
loc	2	1	6550	26511	56	72	0	26383	25492	6550
loc	4	0	3275	13371	56	68	0	13247	12355	3275
loc	4	1	3298	13364	56	68	0	13240	11601	3298
loc	4	2	3293	13497	56	68	0	13373	12636	3293
loc	4	3	3257	13509	56	71	0	13382	12862	3257
loc	8	0	1627	6679	55	71	0	6553	6312	1627
loc	8	1	1648	6831	56	71	0	6704	6043	1648
loc	8	2	1656	6872	56	71	0	6745	5535	1656
loc	8	3	1642	6841	57	72	0	6712	6066	1642
loc	8	4	1652	6963	58	67	0	6838	6378	1652
loc	8	5	1641	6928	56	71	0	6801	6264	1641
loc	8	6	1641	6839	55	66	0	6718	6538	1641
loc	8	7	1616	6818	57	67	0	6694	6330	1616
loc	16	0	818	3405	56	71	0	3278	3156	818
loc	16	1	809	3328	56	71	0	3201	3160	809
loc	16	2	810	3404	55	72	0	3277	3178	810
loc	16	3	838	3546	56	71	0	3419	2867	838
loc	16	4	832	3452	56	71	0	3325	2509	832
loc	16	5	824	3467	56	71	0	3340	3035	824
loc	16	6	830	3508	56	71	0	3381	3050	830
loc	16	7	812	3392	55	67	0	3270	3016	812
loc	16	8	823	3457	55	72	0	3330	3192	823
loc	16	9	829	3490	55	71	0	3364	3190	829
loc	16	10	822	3470	56	71	0	3343	2950	822
loc	16	11	819	3518	57	66	0	3395	3318	819
loc	16	12	823	3576	56	70	0	3450	3200	823
loc	16	13	818	3491	54	74	0	3363	3342	818
loc	16	14	831	3567	56	72	0	3439	3246	831
loc	16	15	785	3382	57	67	0	3258	3090	785
rnd	2	0	6556	26504	56	67	0	26381	28631	6556
rnd	2	1	6567	26541	55	68	0	26418	28631	6567
rnd	4	0	3278	13343	56	66	0	13221	16280	3278
rnd	4	1	3278	13511	57	67	0	13387	16244	3278
rnd	4	2	3285	13592	56	68	0	13468	16289	3285
rnd	4	3	3282	13407	57	67	0	13283	16297	3282
rnd	8	0	1641	7012	56	68	0	6888	9002	1641
rnd	8	1	1637	6870	56	67	0	6747	9053	1637
rnd	8	2	1639	6877	56	67	0	6754	8961	1639
rnd	8	3	1639	6999	56	72	0	6871	8995	1639
rnd	8	4	1645	6906	56	66	0	6784	9056	1645
rnd	8	5	1640	7000	55	67	0	6878	9004	1640
rnd	8	6	1643	6899	56	67	0	6776	9054	1643
rnd	8	7	1639	6991	55	72	0	6864	8983	1639
rnd	16	0	821	3515	56	67	0	3392	4813	821
rnd	16	1	820	3525	57	66	0	3402	4940	820
rnd	16	2	818	3507	55	71	0	3381	4863	818
rnd	16	3	819	3522	56	70	0	3396	4858	819
rnd	16	4	821	3571	56	67	0	3448	4830	821
rnd	16	5	818	3576	56	68	0	3452	4846	818
rnd	16	6	820	3542	56	67	0	3419	4891	820
rnd	16	7	819	3574	56	71	0	3447	4795	819
rnd	16	8	823	3594	55	69	0	3470	4896	823
rnd	16	9	822	3591	56	68	0	3467	4948	822
rnd	16	10	821	3519	56	67	0	3396	4911	821
rnd	16	11	819	3511	55	68	0	3388	4825	819
rnd	16	12	823	3592	56	72	0	3464	4921	823
rnd	16	13	820	3523	56	71	0	3396	4916	820
rnd	16	14	819	3507	56	67	0	3384	4805	819
rnd	16	15	820	3528	56	71	0	3401	4932	820
